סבב בחירות,שם ישוב,סמל ישוב,סמל קלפי,בזב,מצביעים,כשרים,פסולים,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס
2006,אשדוד,70,480,620,276,265,11,27,30,0,0,1,0,13,5,0,6,0,1,27,0,50,35,4,1,1,0,1,0,0,1,0,2,0,4,0,1,55
2006,אשדוד,70,490,750,368,350,18,21,8,1,0,0,0,19,7,1,11,1,2,59,0,106,42,0,1,0,0,0,0,0,0,1,1,1,2,0,0,66
2006,אשדוד,70,500,558,276,269,7,32,6,0,0,0,0,11,7,2,7,0,0,46,0,54,33,0,0,0,3,0,0,0,0,1,1,0,3,0,2,61
2006,אשדוד,70,510,815,422,407,15,42,43,0,0,0,1,18,8,0,10,0,1,55,0,91,52,2,1,1,0,0,1,0,1,0,1,2,0,0,3,74
2006,אשדוד,70,520,593,271,263,8,23,5,0,0,0,1,17,3,2,5,2,1,51,0,34,28,2,0,0,2,1,0,0,0,0,0,2,3,0,3,78
2006,אשדוד,70,530,680,439,434,5,50,15,0,0,1,0,0,11,0,71,1,2,73,0,36,43,2,0,1,2,0,0,0,0,0,0,1,3,0,2,120
2006,אשדוד,70,540,625,311,302,9,26,9,0,0,1,0,7,3,2,14,0,3,48,0,67,39,7,0,0,0,0,0,1,0,0,0,1,2,1,3,68
2006,אשדוד,70,550,571,335,330,5,32,10,0,0,0,0,0,8,2,13,2,1,45,1,73,45,0,0,0,2,0,0,0,0,0,1,0,3,0,3,89
2006,אשדוד,70,560,694,396,388,8,51,4,0,0,1,0,0,16,3,23,0,3,95,0,49,51,8,0,0,0,0,1,0,0,0,0,0,2,0,4,77
2006,אשדוד,70,570,668,355,352,3,37,9,0,0,0,0,0,11,0,30,0,0,68,0,45,56,0,0,0,0,1,0,0,0,0,0,2,2,0,1,90
2006,אשדוד,70,580,649,393,377,16,14,11,1,0,2,0,5,2,0,10,0,3,66,1,189,32,4,0,0,0,1,0,0,1,1,0,0,0,0,2,32
2006,אשדוד,70,590,747,438,431,7,16,85,0,1,0,0,21,2,0,19,0,1,31,0,45,33,7,0,0,0,0,0,1,0,0,1,1,0,0,0,167
2006,אשדוד,70,600,658,449,442,7,22,214,0,0,0,1,21,3,0,5,0,0,14,0,42,16,1,0,0,0,0,0,1,0,0,1,0,1,0,0,100
2006,אשדוד,70,610,671,312,302,10,31,10,0,0,0,0,0,16,1,16,0,0,36,0,63,36,4,0,0,2,1,0,2,2,2,0,2,1,0,1,76
2006,אשדוד,70,620,721,537,531,6,5,215,0,0,0,0,0,3,0,4,0,0,8,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
2006,אשדוד,70,630,554,322,315,7,18,53,0,0,0,1,15,4,0,6,0,1,27,0,53,30,0,0,0,1,1,0,0,0,0,0,3,0,0,1,101
2006,אשדוד,70,640,445,256,253,3,24,9,0,0,0,0,0,7,2,20,0,5,51,0,34,34,0,0,1,4,1,0,0,0,0,0,1,1,0,0,59
2006,אשדוד,70,650,493,278,270,8,15,9,0,0,0,0,1,7,1,7,0,2,62,1,78,22,3,1,0,0,0,0,0,0,0,0,0,3,0,1,57
2006,אשדוד,70,660,588,343,336,7,34,7,0,0,0,0,0,17,1,24,1,1,76,0,35,53,2,0,0,1,0,0,0,0,0,0,0,2,0,4,78
2006,אשדוד,70,670,674,334,328,6,50,5,0,0,0,0,5,6,2,15,0,0,54,0,54,28,1,0,0,1,0,0,0,0,0,0,0,2,2,4,99
2006,אשדוד,70,680,622,355,348,7,73,6,0,0,0,0,0,12,0,29,1,0,78,0,36,51,3,0,0,1,1,0,1,1,0,0,2,4,1,3,45
2006,אשדוד,70,690,643,357,346,11,13,78,1,0,0,1,15,16,3,3,0,3,31,0,48,29,2,0,0,1,2,0,0,0,0,0,3,5,0,0,92
2006,אשדוד,70,700,433,215,214,1,34,5,0,0,0,0,0,7,1,10,0,0,36,1,37,23,2,1,0,0,1,0,0,0,0,1,0,2,0,3,50
2006,אשדוד,70,710,476,236,227,9,21,4,1,0,0,0,24,5,1,8,0,0,35,1,24,40,3,0,0,0,1,1,0,0,0,0,0,1,0,0,57
2006,אשדוד,70,720,528,262,259,3,24,6,0,0,0,1,14,7,0,9,0,2,36,0,48,36,1,0,1,0,0,0,0,0,1,0,1,2,0,3,67
2006,אשדוד,70,730,401,183,178,5,14,21,0,0,0,0,21,3,0,6,1,0,22,1,26,27,4,0,1,0,0,0,0,0,0,0,1,1,0,0,29
2006,אשדוד,70,740,588,262,255,7,27,9,0,0,0,1,19,3,2,14,0,2,31,0,23,37,1,0,0,0,0,0,0,0,0,0,0,3,0,2,81
2006,אשדוד,70,750,657,286,280,6,19,8,0,0,0,0,29,4,3,11,2,0,25,0,78,36,2,0,1,1,0,1,1,0,0,1,0,2,0,0,56
2006,אשדוד,70,760,690,366,362,4,58,7,0,0,0,0,2,17,0,38,1,2,56,0,52,40,3,0,0,1,1,0,1,0,0,0,1,2,0,3,77
2006,אשדוד,70,770,595,306,294,12,27,1,0,0,0,0,4,10,2,18,0,2,68,0,67,37,3,0,0,1,0,1,0,0,0,1,3,2,0,1,46
2006,אשדוד,70,790,563,345,340,5,44,4,1,0,0,0,0,28,1,22,0,7,72,0,40,53,2,3,1,0,1,0,0,0,0,0,0,4,0,1,56
2006,אשדוד,70,800,449,183,176,7,14,8,0,1,0,1,1,4,1,1,0,2,28,0,33,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,44
2006,אשדוד,70,810,676,366,360,6,71,2,0,0,0,0,2,19,0,13,1,3,89,0,48,25,5,0,0,0,0,0,0,0,0,0,3,4,0,3,72
2006,אשדוד,70,820,538,269,264,5,44,4,0,0,0,0,5,11,0,24,1,2,51,0,23,31,1,0,0,1,0,0,1,0,0,0,2,2,1,4,56
2006,אשדוד,70,830,679,372,368,4,48,8,1,0,0,0,2,27,3,12,0,0,71,0,75,38,1,1,2,2,1,0,1,0,0,1,2,5,0,4,63
2006,אשדוד,70,840,729,408,400,8,71,10,0,0,1,0,6,16,4,27,1,9,66,0,36,49,4,0,0,1,0,0,1,0,0,0,3,3,0,4,88
2006,אשדוד,70,850,762,407,397,10,49,7,0,0,0,0,3,14,0,26,1,0,94,1,71,50,0,0,0,2,1,1,0,0,0,2,0,4,0,3,68
2006,אשדוד,70,860,716,314,300,14,21,10,2,0,0,0,11,7,1,10,2,0,68,0,57,37,3,0,0,1,1,1,0,0,2,2,2,6,0,0,56
2006,אשדוד,70,870,565,303,299,4,51,6,0,0,0,0,0,16,1,32,0,0,75,0,21,35,5,0,0,3,0,0,0,0,0,0,1,2,0,10,41
2006,אשדוד,70,880,687,336,329,7,44,9,0,0,1,0,12,10,0,7,2,0,51,1,52,40,3,0,5,0,0,1,1,0,0,2,0,0,0,1,87
2006,אשדוד,70,890,665,427,423,4,103,2,0,1,1,0,1,37,1,26,2,3,139,0,12,42,9,0,0,6,0,0,0,0,0,0,0,4,0,8,26
2006,אשדוד,70,900,466,274,272,2,52,8,1,0,0,0,0,23,1,36,1,2,65,0,16,29,8,0,0,3,0,0,0,0,0,0,0,3,0,4,20
2006,אשדוד,70,910,643,319,311,8,36,6,0,0,0,1,6,7,0,10,1,0,54,0,61,48,1,1,0,0,0,1,0,0,0,1,1,5,0,2,69
2006,אשדוד,70,920,670,383,379,4,75,5,0,0,0,0,0,25,0,38,0,1,104,0,31,35,8,0,0,1,0,0,0,0,0,0,0,5,0,5,46
